City,Hemisphere,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Date
Pimentel,Southern,-6.84,-79.93,59.85,59.85,88,17,12.77,PE,07/28/2020
Krasnokamensk,Northern,50.1,118.04,74.84,74.84,63,95,14.65,RU,07/28/2020
Kapaa,Northern,22.08,-159.32,82.4,80.01,69,40,21.92,US,07/28/2020
Albany,Northern,42.6,-73.97,82.0,77.0,78,60,5.17,US,07/28/2020
Borazjan,Northern,29.27,51.22,93.2,93.2,75,40,18.34,IR,07/28/2020
Hualmay,Southern,-11.1,-77.61,58.78,58.78,85,73,8.59,PE,07/28/2020
Butaritari,Northern,3.07,172.79,83.17,83.17,78,100,11.54,KI,07/28/2020
Airai,Southern,-8.93,125.41,70.38,70.38,53,95,4.65,TL,07/28/2020
Ribeira Grande,Northern,38.52,-28.7,73.27,73.27,88,6,5.35,PT,07/28/2020
Ondangwa,Southern,-17.92,15.95,54.32,54.32,41,0,12.75,NA,07/28/2020
Busselton,Southern,-33.65,115.33,62.01,55.99,98,98,10.38,AU,07/28/2020
Qaanaaq,Northern,77.48,-69.36,40.17,40.17,70,0,0.94,GL,07/28/2020
Booué,Southern,-0.09,11.94,70.12,70.12,88,1,2.08,GA,07/28/2020
Lavrentiya,Northern,65.58,-171.0,47.93,47.93,80,93,13.85,RU,07/28/2020
Hermanus,Southern,-34.42,19.23,42.01,42.01,94,0,1.99,ZA,07/28/2020
Poum,Southern,-20.23,164.02,74.88,74.88,78,97,20.4,NC,07/28/2020
Saint-Philippe,Southern,-21.36,55.77,68.0,57.0,82,90,4.7,RE,07/28/2020
Praia da Vitória,Northern,38.73,-27.07,73.4,73.4,94,5,3.69,PT,07/28/2020
Igrim,Northern,63.19,64.42,56.44,56.44,60,8,6.8,RU,07/28/2020
Genhe,Northern,50.78,121.52,84.15,84.15,38,85,9.91,CN,07/28/2020
Marawi,Northern,8.0,124.29,82.99,82.99,73,39,5.99,PH,07/28/2020
Zhangye,Northern,38.93,100.45,89.92,89.92,15,0,10.76,CN,07/28/2020
Mataura,Southern,-46.19,168.86,48.0,48.0,83,100,2.28,NZ,07/28/2020
Upernavik,Northern,72.79,-56.15,44.42,44.42,86,95,4.88,GL,07/28/2020
Kismayo,Southern,-0.36,42.55,76.95,76.95,83,60,19.37,SO,07/28/2020
Bredasdorp,Southern,-34.53,20.04,39.2,39.2,93,0,1.12,ZA,07/28/2020
Ancud,Southern,-41.87,-73.82,42.01,35.6,100,40,1.12,CL,07/28/2020
Saint Paul Harbor,Northern,57.79,-152.41,60.8,60.8,72,1,5.82,US,07/28/2020
Punta Arenas,Southern,-53.15,-70.92,33.8,33.01,59,61,8.05,CL,07/28/2020
Hong Kong,Northern,22.29,114.16,93.99,91.0,55,98,11.01,HK,07/28/2020
Kuandian,Northern,40.73,124.78,77.76,77.76,75,77,3.47,CN,07/28/2020
Esperance,Southern,-33.87,121.9,59.0,59.0,87,27,11.41,AU,07/28/2020
Olean,Northern,42.08,-78.43,69.8,66.99,100,75,5.82,US,07/28/2020
Atuona,Southern,-9.8,-139.03,79.74,79.74,71,0,25.7,PF,07/28/2020
Laguna,Northern,38.42,-121.42,87.8,82.0,29,1,11.41,US,07/28/2020
Ushuaia,Southern,-54.8,-68.3,33.8,33.8,86,20,26.4,AR,07/28/2020
Maniitsoq,Northern,65.42,-52.9,45.03,45.03,96,100,15.48,GL,07/28/2020
Lebu,Southern,-37.62,-73.65,44.06,44.06,77,0,11.5,CL,07/28/2020
Pignon,Northern,19.33,-72.12,71.62,71.62,90,89,4.0,HT,07/28/2020
Yeppoon,Southern,-23.13,150.73,73.4,73.4,25,0,11.41,AU,07/28/2020
Saldanha,Southern,-33.01,17.94,46.4,46.4,75,0,1.12,ZA,07/28/2020
Port Elizabeth,Southern,-33.92,25.57,44.6,44.6,87,0,4.7,ZA,07/28/2020
Saint George,Northern,37.1,-113.58,100.4,96.01,11,1,17.22,US,07/28/2020
Mâncio Lima,Southern,-7.61,-72.9,71.98,71.98,88,0,1.54,BR,07/28/2020
Bubaque,Northern,11.28,-15.83,79.47,79.47,84,100,16.17,GW,07/28/2020
Divnogorsk,Northern,55.96,92.36,66.2,66.2,68,42,4.47,RU,07/28/2020
Bethel,Northern,41.37,-73.41,84.2,78.01,58,1,6.93,US,07/28/2020
Castro,Southern,-24.79,-50.01,57.42,57.42,78,69,3.71,BR,07/28/2020
Cidreira,Southern,-30.18,-50.21,58.71,58.71,97,97,6.22,BR,07/28/2020
Erenhot,Northern,43.65,111.98,80.42,80.42,36,0,11.88,CN,07/28/2020
Lüderitz,Southern,-26.65,15.16,51.8,51.8,93,0,2.24,NA,07/28/2020
Pisco,Southern,-13.7,-76.22,60.8,57.99,82,20,5.82,PE,07/28/2020
Antofagasta,Southern,-23.65,-70.4,55.4,55.4,76,75,5.82,CL,07/28/2020
Vaini,Southern,-21.2,-175.2,71.6,71.6,83,75,14.99,TO,07/28/2020
Bengkulu,Southern,-3.8,102.27,83.07,83.07,61,100,6.55,ID,07/28/2020
Dikson,Northern,73.51,80.55,41.27,41.27,79,49,14.29,RU,07/28/2020
Aklavik,Northern,68.22,-135.01,66.2,66.2,52,75,16.11,CA,07/28/2020
Cape Town,Southern,-33.93,18.42,57.99,53.01,93,1,10.29,ZA,07/28/2020
Saskylakh,Northern,71.92,114.08,56.46,56.46,55,53,10.25,RU,07/28/2020
Lodja,Southern,-3.48,23.43,68.18,68.18,66,0,1.1,CD,07/28/2020
Mahébourg,Southern,-20.41,57.7,64.4,64.4,93,75,4.7,MU,07/28/2020
East London,Southern,-33.02,27.91,55.81,55.81,59,0,5.82,ZA,07/28/2020
Guaporé,Southern,-28.85,-51.89,63.0,60.01,100,100,0.45,BR,07/28/2020
Kirksville,Northern,40.19,-92.58,71.6,68.0,88,1,1.66,US,07/28/2020
Rikitea,Southern,-23.12,-134.97,72.5,72.5,82,95,14.09,PF,07/28/2020
Faya,Northern,18.39,42.45,64.4,62.6,93,75,11.41,SA,07/28/2020
Sistranda,Northern,63.73,8.83,59.0,59.0,72,100,13.87,NO,07/28/2020
New Norfolk,Southern,-42.78,147.06,54.0,45.0,88,43,1.59,AU,07/28/2020
Nanortalik,Northern,60.14,-45.24,46.15,46.15,95,100,4.45,GL,07/28/2020
Poronaysk,Northern,49.22,143.12,61.02,61.02,83,98,9.98,RU,07/28/2020
Kahului,Northern,20.89,-156.47,89.6,75.99,46,1,28.86,US,07/28/2020
Mareeba,Southern,-17.0,145.43,81.0,78.8,50,87,8.05,AU,07/28/2020
Cherskiy,Northern,68.75,161.3,50.41,50.41,47,27,10.47,RU,07/28/2020
Calama,Southern,-22.47,-68.93,37.4,37.4,9,0,21.92,CL,07/28/2020
Şebinkarahisar,Northern,40.29,38.42,61.93,61.93,75,0,0.36,TR,07/28/2020
Pemba,Southern,-12.97,40.52,70.02,70.02,85,2,13.8,MZ,07/28/2020
Goderich,Northern,43.75,-81.72,73.0,69.01,77,31,8.01,CA,07/28/2020
Hasaki,Northern,35.73,140.83,84.2,82.99,74,75,13.87,JP,07/28/2020
Vladičin Han,Northern,42.71,22.06,57.0,57.0,91,0,1.39,RS,07/28/2020
Jamestown,Northern,42.1,-79.24,73.0,71.6,94,90,8.05,US,07/28/2020
Teknāf,Northern,20.86,92.31,84.22,84.22,79,95,5.44,BD,07/28/2020
Hithadhoo,Southern,-0.6,73.08,82.87,82.87,78,100,14.05,MV,07/28/2020
Puerto Ayora,Southern,-0.74,-90.35,66.0,66.0,98,87,1.01,EC,07/28/2020
Gambo,Northern,4.65,22.26,67.1,67.1,97,99,0.85,CF,07/28/2020
Gogrial,Northern,8.53,28.1,71.92,71.92,90,100,4.27,SS,07/28/2020
Yellowknife,Northern,62.46,-114.35,66.99,64.4,88,75,8.05,CA,07/28/2020
Balagansk,Northern,54.01,103.05,68.25,68.25,62,55,3.0,RU,07/28/2020
Tasiilaq,Northern,65.61,-37.64,39.2,39.2,93,38,6.93,GL,07/28/2020
Eirunepé,Southern,-6.66,-69.87,73.06,73.06,78,19,2.24,BR,07/28/2020
Kailua,Northern,21.4,-157.74,86.0,75.99,51,75,12.75,US,07/28/2020
Kemijärvi,Northern,66.71,27.43,57.96,57.96,74,100,2.75,FI,07/28/2020
Barrow,Northern,71.29,-156.79,39.2,39.2,80,90,24.16,US,07/28/2020
Kaitangata,Southern,-46.28,169.85,48.0,48.0,68,100,5.99,NZ,07/28/2020
São Gabriel da Cachoeira,Southern,-0.13,-67.09,72.55,72.55,96,58,0.69,BR,07/28/2020
George Town,Northern,5.41,100.34,86.0,86.0,66,20,11.41,MY,07/28/2020
Rocha,Southern,-34.48,-54.33,45.59,45.59,70,100,9.84,UY,07/28/2020
Ponta do Sol,Northern,32.67,-17.1,71.6,60.01,64,20,13.87,PT,07/28/2020
Carnarvon,Southern,-24.87,113.63,71.6,71.6,56,0,14.99,AU,07/28/2020
Cayenne,Northern,4.93,-52.33,75.2,75.2,100,88,7.74,GF,07/28/2020
Cullen,Northern,57.69,-2.82,53.6,53.01,93,75,16.11,GB,07/28/2020
Colares,Northern,38.8,-9.45,70.0,69.01,95,37,15.32,PT,07/28/2020
Belmonte,Southern,-15.86,-38.88,69.8,69.8,83,40,4.7,BR,07/28/2020
Bilma,Northern,18.69,12.92,86.49,86.49,50,7,10.67,NE,07/28/2020
Onverwacht,Northern,5.58,-55.18,78.8,75.99,88,40,6.93,SR,07/28/2020
Ostrovnoy,Northern,68.05,39.51,60.04,60.04,76,9,1.14,RU,07/28/2020
Launceston,Southern,-41.45,147.17,55.0,53.6,66,20,17.22,AU,07/28/2020
Chāmpua,Northern,22.08,85.67,81.16,81.16,77,100,3.38,IN,07/28/2020
Zhumadian,Northern,32.98,114.03,82.2,82.2,77,65,6.17,CN,07/28/2020
Kaseda-shirakame,Northern,31.42,130.32,84.2,84.0,79,75,8.05,JP,07/28/2020
Upata,Northern,8.01,-62.4,80.01,80.01,83,79,1.01,VE,07/28/2020
Kovūr,Northern,14.48,79.98,87.93,87.93,58,100,17.16,IN,07/28/2020
Tsiroanomandidy,Southern,-18.77,46.03,60.19,60.19,55,94,1.95,MG,07/28/2020
Río Gallegos,Southern,-51.62,-69.22,28.4,28.4,86,37,8.05,AR,07/28/2020
Hilo,Northern,19.73,-155.09,82.4,71.01,61,90,10.29,US,07/28/2020
Valparai,Northern,10.37,76.97,80.6,80.6,88,75,4.38,IN,07/28/2020
Touros,Southern,-5.2,-35.46,71.6,71.6,94,75,4.7,BR,07/28/2020
Terney,Northern,45.05,136.61,70.81,70.81,70,29,6.8,RU,07/28/2020
Gushikawa,Northern,26.35,127.87,87.8,87.01,74,40,13.87,JP,07/28/2020
Honiara,Southern,-9.43,159.95,89.6,89.6,66,40,6.93,SB,07/28/2020
Eten,Southern,-6.91,-79.86,60.17,60.17,87,26,12.35,PE,07/28/2020
Chui,Southern,-33.7,-53.46,46.6,46.6,78,100,8.9,UY,07/28/2020
Hobart,Southern,-42.88,147.33,54.0,51.8,71,20,8.05,AU,07/28/2020
Mar del Plata,Southern,-38.0,-57.56,42.01,41.0,86,75,9.17,AR,07/28/2020
Alyangula,Southern,-13.85,136.42,78.8,78.8,39,5,11.41,AU,07/28/2020
Port Alfred,Southern,-33.59,26.89,55.42,55.42,62,0,7.23,ZA,07/28/2020
Yilan,Northern,24.76,121.75,95.0,88.0,67,75,3.36,TW,07/28/2020
Ntoum,Northern,0.38,9.78,77.0,77.0,88,40,6.93,GA,07/28/2020
Cabedelo,Southern,-6.98,-34.83,75.04,75.04,82,33,15.95,BR,07/28/2020
Ust-Maya,Northern,60.42,134.53,75.81,75.81,58,65,3.13,RU,07/28/2020
Souillac,Southern,-20.52,57.52,64.4,64.4,93,75,4.7,MU,07/28/2020
Margate,Northern,51.38,1.39,62.01,61.0,71,32,3.0,GB,07/28/2020
Codrington,Southern,-38.27,141.97,55.9,55.9,67,46,2.71,AU,07/28/2020
Naze,Northern,28.37,129.48,89.6,89.6,75,75,12.75,JP,07/28/2020
Krasnyy Kommunar,Northern,51.96,55.37,59.0,59.0,87,0,11.18,RU,07/28/2020
Hobyo,Northern,5.35,48.53,79.03,79.03,75,33,19.89,SO,07/28/2020
Ust-Nera,Northern,64.57,143.2,69.76,69.76,40,81,7.87,RU,07/28/2020
Isangel,Southern,-19.55,169.27,82.4,82.4,69,75,10.29,VU,07/28/2020
Itarema,Southern,-2.92,-39.92,76.35,76.35,83,0,12.8,BR,07/28/2020
Ølgod,Northern,55.81,8.63,61.0,59.0,93,100,10.29,DK,07/28/2020
San Rafael del Sur,Northern,11.85,-86.44,76.86,76.86,85,100,5.88,NI,07/28/2020
Strezhevoy,Northern,60.73,77.59,53.6,53.6,76,75,4.47,RU,07/28/2020
Fare,Southern,-16.7,-151.02,79.43,79.43,79,89,14.9,PF,07/28/2020
Chokurdakh,Northern,70.63,147.92,50.05,50.05,56,100,4.63,RU,07/28/2020
Pangnirtung,Northern,66.15,-65.71,57.36,57.36,52,100,4.65,CA,07/28/2020
Camacha,Northern,33.08,-16.33,69.8,69.8,68,40,12.75,PT,07/28/2020
Bilibino,Northern,68.05,166.44,59.31,59.31,42,60,9.62,RU,07/28/2020
General Pico,Southern,-35.66,-63.76,38.68,38.68,69,0,6.04,AR,07/28/2020
Trincomalee,Northern,8.57,81.23,78.44,78.44,83,100,14.76,LK,07/28/2020
Coquimbo,Southern,-29.95,-71.34,51.8,51.8,87,0,1.12,CL,07/28/2020
Collie,Southern,-33.37,116.15,61.0,55.99,98,78,7.54,AU,07/28/2020
Yar-Sale,Northern,66.83,70.83,56.14,56.14,56,83,15.46,RU,07/28/2020
Dumas,Northern,35.87,-101.97,72.0,68.0,94,75,6.93,US,07/28/2020
Kumluca,Northern,36.37,30.29,82.29,82.29,43,0,4.12,TR,07/28/2020
Kuching,Northern,1.55,110.33,82.4,78.01,88,40,2.24,MY,07/28/2020
Ucluelet,Northern,48.93,-125.55,60.01,60.01,83,9,4.0,CA,07/28/2020
Mozelos,Northern,41.87,-8.4,66.2,63.0,93,90,3.36,PT,07/28/2020
Pando,Southern,-34.72,-55.95,48.2,44.01,45,75,10.29,UY,07/28/2020
Faanui,Southern,-16.48,-151.75,79.0,79.0,80,88,12.97,PF,07/28/2020
Peoria,Northern,40.77,-89.77,73.4,71.01,78,1,3.36,US,07/28/2020
San Quintín,Northern,30.48,-115.95,66.63,66.63,85,0,15.1,MX,07/28/2020
Ayorou,Northern,14.73,0.92,79.84,79.84,73,100,13.33,NE,07/28/2020
Huarmey,Southern,-10.07,-78.15,58.96,58.96,86,74,6.44,PE,07/28/2020
Tongzi,Northern,28.78,105.09,87.62,87.62,58,22,1.7,CN,07/28/2020
Nuuk,Northern,64.18,-51.72,44.6,44.6,93,100,13.87,GL,07/28/2020
Port Hawkesbury,Northern,45.62,-61.35,63.0,62.6,100,90,3.36,CA,07/28/2020
Maningrida,Southern,-12.07,134.27,82.31,82.31,33,95,11.61,AU,07/28/2020
