city,hemisphere,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,datetime
Chokurdakh,Nothern,70.63,147.92,52.16,78,59,15.17,RU,2020-07-26 12:55:23
Nianzishan,Nothern,47.52,122.88,79.61,46,0,9.73,CN,2020-07-26 12:51:45
Sakakah,Nothern,29.97,40.21,114.8,7,40,11.41,SA,2020-07-26 12:55:24
Bluff,Southern,-46.6,168.33,45.79,86,0,9.69,NZ,2020-07-26 12:55:24
Ponta do Sol,Nothern,32.67,-17.1,73.0,68,0,2.91,PT,2020-07-26 12:55:24
Atambua,Southern,-9.11,124.89,68.41,81,100,6.31,ID,2020-07-26 12:55:25
Vostok,Nothern,46.49,135.88,61.16,91,0,3.2,RU,2020-07-26 12:55:25
Severo-Kuril'sk,Nothern,50.68,156.12,50.22,88,100,13.73,RU,2020-07-26 12:55:25
Vaini,Southern,-21.2,-175.2,69.8,77,75,8.05,TO,2020-07-26 12:55:25
Saint-Philippe,Southern,-21.36,55.77,73.4,60,100,23.04,RE,2020-07-26 12:55:25
Atuona,Southern,-9.8,-139.03,79.25,78,7,20.09,PF,2020-07-26 12:55:25
Faanui,Southern,-16.48,-151.75,77.4,84,45,16.17,PF,2020-07-26 12:53:59
Nanortalik,Nothern,60.14,-45.24,44.83,86,41,3.6,GL,2020-07-26 12:55:26
Kiryat Gat,Nothern,31.61,34.76,91.0,56,0,3.0,IL,2020-07-26 12:51:36
Guadalajara,Nothern,20.67,-103.33,62.6,88,75,2.1,MX,2020-07-26 12:54:37
Port Elizabeth,Southern,-33.92,25.57,62.6,72,75,25.28,ZA,2020-07-26 12:55:26
Catuday,Nothern,16.29,119.81,84.04,74,100,7.14,PH,2020-07-26 12:55:26
Ushuaia,Southern,-54.8,-68.3,32.0,95,90,9.17,AR,2020-07-26 12:55:27
Boyolangu,Southern,-8.12,111.89,72.18,85,94,6.08,ID,2020-07-26 12:55:27
Port Hedland,Southern,-20.32,118.57,64.4,31,20,5.82,AU,2020-07-26 12:54:04
Nishihara,Nothern,26.18,127.76,82.4,78,75,11.41,JP,2020-07-26 12:55:27
Kapaa,Nothern,22.08,-159.32,78.8,83,75,18.34,US,2020-07-26 12:55:16
Benghazi,Nothern,32.12,20.07,83.23,65,0,13.76,LY,2020-07-26 12:52:43
Albany,Nothern,42.6,-73.97,73.99,66,0,5.57,US,2020-07-26 12:55:28
Iquique,Southern,-20.22,-70.14,59.0,67,90,6.93,CL,2020-07-26 12:55:28
Jamestown,Nothern,42.1,-79.24,72.0,93,1,9.17,US,2020-07-26 12:55:28
Puerto Colombia,Nothern,10.99,-74.95,78.8,88,40,2.24,CO,2020-07-26 12:55:28
Rikitea,Southern,-23.12,-134.97,70.11,81,37,20.92,PF,2020-07-26 12:55:28
Barrow,Nothern,71.29,-156.79,44.6,87,90,11.41,US,2020-07-26 12:55:02
Port Alfred,Southern,-33.59,26.89,63.75,67,46,25.86,ZA,2020-07-26 12:55:29
Busselton,Southern,-33.65,115.33,62.01,71,100,7.85,AU,2020-07-26 12:55:29
Tuktoyaktuk,Nothern,69.45,-133.04,45.23,92,100,6.93,CA,2020-07-26 12:55:29
Punta Arenas,Southern,-53.15,-70.92,33.8,80,100,19.46,CL,2020-07-26 12:55:29
Zhezkazgan,Nothern,47.8,67.71,91.4,18,75,8.95,KZ,2020-07-26 12:55:30
Cap Malheureux,Southern,-19.98,57.61,69.8,73,75,17.22,MU,2020-07-26 12:53:22
Avarua,Southern,-21.21,-159.78,69.8,83,100,3.36,CK,2020-07-26 12:55:30
Mahibadhoo,Nothern,3.78,72.97,83.57,64,91,5.44,MV,2020-07-26 12:55:30
Isangel,Southern,-19.55,169.27,71.6,83,67,5.82,VU,2020-07-26 12:51:49
Vardø,Nothern,70.37,31.11,59.32,69,99,18.25,NO,2020-07-26 12:50:01
Tuy Hoa,Nothern,13.08,109.3,80.69,85,84,8.66,VN,2020-07-26 12:55:31
Bengkulu,Southern,-3.8,102.27,79.05,86,100,9.46,ID,2020-07-26 12:55:31
Samarai,Southern,-10.62,150.67,78.94,87,69,12.46,PG,2020-07-26 12:53:33
Morondava,Southern,-20.28,44.28,75.51,49,0,12.86,MG,2020-07-26 12:55:31
Mafinga,Southern,-7.25,35.07,83.89,24,97,7.63,TZ,2020-07-26 12:55:31
Ribeira Grande,Nothern,38.52,-28.7,73.4,88,75,8.05,PT,2020-07-26 12:55:31
Mataura,Southern,-46.19,168.86,37.33,94,3,2.28,NZ,2020-07-26 12:55:32
Tuatapere,Southern,-46.13,167.68,40.19,86,1,4.23,NZ,2020-07-26 12:55:32
Bredasdorp,Southern,-34.53,20.04,60.8,59,63,10.29,ZA,2020-07-26 12:55:32
Cape Town,Southern,-33.93,18.42,66.0,59,20,17.22,ZA,2020-07-26 12:55:32
Haines Junction,Nothern,60.75,-137.51,47.84,84,100,1.7,CA,2020-07-26 12:55:32
Provideniya,Nothern,64.38,-173.3,54.3,70,100,6.22,RU,2020-07-26 12:53:41
