kahului,Nothern,20.89,83.64,43,40,21.92
punta arenas,Southern,-53.15,39.09,80,75,13.87
port macquarie,Southern,-31.43,53.01,98,85,0.69
pionerskiy,Nothern,54.95,51.8,93,20,6.71
darhan,Nothern,49.49,60.24,82,68,0.85
upernavik,Nothern,72.79,46.26,75,68,10.74
atuona,Southern,-9.8,79.34,75,2,17.87
castro,Southern,-24.79,58.66,80,2,4.32
rikitea,Southern,-23.12,67.08,61,0,15.41
boende,Southern,-0.22,74.88,74,93,0.81
san cristobal,Nothern,7.77,82.4,54,75,16.11
barrhead,Nothern,55.8,52.74,93,63,8.05
sandakan,Nothern,5.84,73.2,100,20,4.18
waipawa,Southern,-41.41,49.59,71,10,8.05
busselton,Southern,-33.65,40.33,78,1,5.06
tasiilaq,Nothern,65.61,39.2,86,97,1.12
tuktoyaktuk,Nothern,69.45,60.8,48,40,17.22
jamestown,Nothern,42.1,77.79,65,90,6.93
marawi,Nothern,8.0,77.0,89,82,5.01
mataura,Southern,-46.19,39.0,83,80,3.0
pouembout,Southern,-21.13,75.78,60,2,5.75
butaritari,Nothern,3.07,82.62,78,36,14.72
yellowknife,Nothern,62.46,61.23,77,75,17.22
ilebo,Southern,-4.32,74.75,54,3,0.89
klaksvik,Nothern,62.23,51.8,87,97,6.93
eyl,Nothern,7.98,77.29,64,92,24.27
lavrentiya,Nothern,65.58,54.1,61,97,10.02
port hedland,Southern,-20.32,53.6,93,0,5.82
victoria,Nothern,22.29,84.0,79,95,4.0
hermanus,Southern,-34.42,57.99,82,0,1.01
georgetown,Nothern,5.41,78.82,88,20,2.24
cooma,Southern,-36.23,28.4,100,90,10.29
lagoa,Nothern,39.05,69.75,73,0,5.37
lethem,Nothern,3.38,78.44,80,93,4.83
dikson,Nothern,73.51,41.72,87,21,3.69
vaini,Southern,-21.2,69.8,94,75,8.05
tiksi,Nothern,71.69,61.97,75,40,10.25
nabire,Southern,-3.37,79.63,76,26,3.53
nemuro,Nothern,43.32,58.96,97,100,8.59
mehamn,Nothern,71.04,54.18,91,32,9.13
sotouboua,Nothern,8.57,71.2,94,97,3.76
mar del plata,Southern,-38.0,53.91,100,90,11.41
bengkulu,Southern,-3.8,75.07,87,100,3.91
kyaikkami,Nothern,16.08,80.44,80,73,4.03
molchanovo,Nothern,57.58,49.44,96,28,6.51
namatanai,Southern,-3.67,83.93,72,51,7.29
albany,Nothern,42.6,79.2,71,83,6.31
grand gaube,Southern,-20.01,66.99,69,30,8.99
oranjemund,Southern,-28.55,70.34,23,0,7.0
saint george,Nothern,37.1,95.38,23,1,21.92
port elizabeth,Southern,-33.92,51.8,76,0,5.82
necochea,Southern,-38.55,52.0,99,83,4.0
ovsyanka,Nothern,55.96,51.8,87,36,2.24
bairiki,Nothern,1.33,86.0,70,40,9.17
qaanaaq,Nothern,77.48,49.82,50,1,4.68
